enrollment_id,y_test_real,y_pred_modelo,probabilidad_desercion
2,0,0,0.07611560563870272
8,0,0,0.06489379740483876
10,1,1,0.8649212387735312
11,0,0,0.005840158827741984
15,0,1,0.5893711757713521
17,0,0,0.143415913919261
19,0,1,0.6963550401351081
21,1,1,0.7386197845246809
24,0,0,0.31771755789581224
25,1,1,0.8632354118195031
27,0,0,0.023263368504131604
29,1,0,0.462037269588168
33,1,0,0.2980362757589574
34,0,0,0.028814736054827848
36,0,0,0.0517919988768142
37,0,0,0.3499974170889023
38,1,1,0.575178125210074
40,1,0,0.1977997199611927
41,0,0,0.11804699368638048
42,0,0,0.05591611443091014
43,0,0,0.11898916683912354
44,1,1,0.654139816691809
47,1,1,0.6906614378080987
52,0,1,0.6583440120906209
56,0,0,0.12040572638933644
57,1,1,0.7569573074159937
59,1,1,0.6579454141195146
61,0,0,0.04662413067505197
62,1,1,0.6644193076253013
63,1,1,0.8225498349267341
64,0,0,0.03345937661114848
66,0,0,0.002809667823180685
72,0,0,0.37214272202715326
77,0,0,0.09480850334982306
79,0,0,0.29349604810004076
84,0,0,0.07993978170075894
85,1,1,0.7518650821103297
89,1,0,0.23484244046526262
99,0,1,0.5676614051205041
100,1,0,0.18261632853802348
105,1,1,0.5901582001757844
108,1,0,0.40971803400906986
110,0,0,0.047908277226089056
115,1,1,0.6599257810005676
116,1,1,0.6517011146369598
117,1,0,0.4580243716523742
118,1,1,0.7078239634687311
124,0,0,0.015405861479944537
125,1,1,0.5147566984632319
126,0,0,0.2074561039273167
127,0,0,0.2308135255124665
128,1,1,0.7816564266055521
136,0,0,0.17649491392587602
137,0,0,0.1692160409518701
139,0,1,0.5177885549160113
145,1,0,0.03934180205755431
147,0,0,0.32649099571877643
153,1,1,0.7459595785586398
154,1,1,0.7702907131446897
158,0,0,0.019197863789313176
163,1,1,0.6721280945045165
165,1,1,0.7215931965914553
168,1,1,0.8649212387735312
169,0,1,0.8598106427760706
177,0,1,0.7416872111381633
179,1,1,0.8640805278404738
181,0,1,0.5108532580795802
183,0,0,0.008196975859230262
184,0,0,0.1850203921664329
185,1,1,0.8649212387735312
187,1,0,0.3313934500247319
